Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Kelly N.M.,57201670201;,"""Works like magic"": Metaphor, meaning, and the GUI in snow crash",2018,Science-Fiction Studies,45,,,69,90,,1,10.5621/sciefictstud.45.1.0069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045666877&doi=10.5621%2fsciefictstud.45.1.0069&partnerID=40&md5=7e45c01ed7844ac0d035a62e435ee1ca,,"Kelly, N.M.","Computers might well be said to work ""like magic."" Graphical User Interfaces (GUIs) allow computers to work predictably but inscrutably. Central to the design of GUIs are visual metaphors that help users understand the function of interface elements. In 1992, as GUIs were supplanting command-based interfaces, Snow Crash was published. In it, Neal Stephenson offers a new take on the SF/cyberpunk conceit of ""cyberspace"" with ""the Metaverse, "" a VR world Stephenson claims was inspired by real-world GUI design principles. Yet in Stephenson's 1999 essay ""In the Beginning. was the Command Line, "" the author rails against metaphor-based interfaces, claiming such software separates users from total control of their systems, control that can only be achieved by learning computer code. Similarly, in Snow Crash, programming code itself is cast as magical, an analog to a pre-Babelian speech that can control human minds as if they are computers. While Stephenson's novel does show that GUIs can constrain what users can do with their computers-as well as articulate ideas about what computers are for-it does something else. Despite its attack on GUIs, Snow Crash sees the appeal of cyberspace visions as rooted in a human desire to interact with computers in a human way. The real ""magic"" of making computers mean something on a human level occurs through metaphor-based mental operations which long predate computers. ? 2018 S F - T H, Inc.. All Rights Reserved.",,,Article,Final,,Scopus,2-s2.0-85045666877
"Ryskeldiev B., Ochiai Y., Cohen M., Herder J.",56453509600;36454884800;55333984600;56240795400;,Distributed metaverse: Creating decentralized blockchain-based model for peer-To-peer sharing of virtual spaces for mixed reality applications,2018,ACM International Conference Proceeding Series,,,a39,,,,3,10.1145/3174910.3174952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044330978&doi=10.1145%2f3174910.3174952&partnerID=40&md5=e0d890a21f9e1477f0975481eaf2f3b7,"University of Aizu, Aizu-Wakamatsu, Fukushima, Japan; Hochschule D?sseldorf, University of Applied Sciences, D?sseldorf, Germany","Ryskeldiev, B., University of Aizu, Aizu-Wakamatsu, Fukushima, Japan; Ochiai, Y., University of Aizu, Aizu-Wakamatsu, Fukushima, Japan; Cohen, M., University of Aizu, Aizu-Wakamatsu, Fukushima, Japan; Herder, J., Hochschule D?sseldorf, University of Applied Sciences, D?sseldorf, Germany","Mixed reality telepresence is becoming an increasingly popular form of interaction in social and collaborative applications. We are interested in how created virtual spaces can be archived, mapped, shared, and reused among different applications. Therefore, we propose a decentralized blockchain-based peer-To-peer model of distribution, with virtual spaces represented as blocks. We demonstrate the integration of our system in a collaborative mixed reality application and discuss the benefits and limitations of our approach. ? 2018 Copyright held by the owner/author(s). ACM.",Blockchain; Groupware; Mixed Reality; Mobile Computing; Photospherical Imagery; Social Media; Spatial Media; Telepresence,Blockchain; Distributed computer systems; Groupware; Mobile computing; Peer to peer networks; Virtual reality; Visual communication; Collaborative application; Peer to peer; Peer-to-peer models; Photospherical Imagery; Social media; Spatial Media; Telepresence; Virtual spaces; Mixed reality,Conference Paper,Final,,Scopus,2-s2.0-85044330978
[No author name available],[No author id available],DCAC 2018 - Proceedings of the International Conference on Digital Culture and AudioVisual Challenges: Interdisciplinary Creativity in Arts and Technology,2018,CEUR Workshop Proceedings,2811,,,,,224,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101281247&partnerID=40&md5=022c1e79fa8ff5c4b06982c4d8893f60,,,"The proceedings contain 31 papers. The topics discussed include: smooth/striated, place/non-place: spaces for metaverse avatars; complexities of form: thoughts on a de-ontologized aesthetics of recursive processes; dynamic generation and exploration of symmetrical textures from real-time camera input on mobile devices; blockchain and paratactic media works; cyborg art and the rise of a specific vocabulary: which are the challenges for curators in the expression of a new post-human identity?; universal monsters the early posthuman cultural icons; and mediated self and subjectivity. selfie as a negation of Alterity Cindy Sherman, Inti Romero and massive auto-phography.",,,Conference Review,Final,,Scopus,2-s2.0-85101281247
Ayiter E.,14035171700;,"Smooth/striated, place/non-place: Spaces for metaverse avatars",2018,CEUR Workshop Proceedings,2811,,,1,8,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101217418&partnerID=40&md5=203a0900fd8bb47bc1e005b7d678ef25,"Sabanc©¥ University, Istanbul, Turkey","Ayiter, E., Sabanc©¥ University, Istanbul, Turkey","This paper will attempt to connect Gilles Deleuze and Felix Guattari¡¯s conceptions of ¡®smooth/striated space¡¯ and Marc Aug?¡¯s definitions of ¡®place/non-place¡¯ to the space/ place usages of the avatars of online three dimensional virtual builders¡¯ worlds, also known as the metaverse. The premise is that a particular type of virtual space inhabited by avatars, the art ecologies of the metaverse, show usage and navigational attributes which dovetail with these two separate physical space related conceptions since characteristics such as the absence of hierarchies, the confusion brought about through repetitive architectural / spatial elements, as well as an absence of essential navigational aids such as floors in some virtual art spaces, and the intrinsically transitional nature of them appear to be a combination of an inclination toward spatial ¡®smoothness¡¯ and ¡®non-place.¡¯ In order to further examine the subject, Brian Eno¡¯s concept of the ¡®unfinished artifact¡¯ will also be dwelled upon. Copyright ? 2018 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0) DCAC 2018.",Avatar; Metaverse; Non-Place; Place; SecondLife; Smooth/Striated; Space; Unfinished Artifact; Virtual Architecture,Audiovisual; Three dimensional computer graphics; Art spaces; Navigational aids; Virtual spaces; Arts computing,Conference Paper,Final,,Scopus,2-s2.0-85101217418
Nevelsteen K.J.L.,55247002400;,"Virtual world, defined from a technological perspective and applied to video games, mixed reality, and the Metaverse",2018,Computer Animation and Virtual Worlds,29,1,e1752,,,,7,10.1002/cav.1752,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018887006&doi=10.1002%2fcav.1752&partnerID=40&md5=c953fc93d2f594abaae5e5245d7817cf,"Immersive Networking, Dept. of Computer and Systems Sciences, Stockholm University, NOD building, Borgarfjordsgatan 12, Stockholm, Kista  16455, Sweden","Nevelsteen, K.J.L., Immersive Networking, Dept. of Computer and Systems Sciences, Stockholm University, NOD building, Borgarfjordsgatan 12, Stockholm, Kista  16455, Sweden","There is no generally accepted definition for a virtual world, with many complimentary terms and acronyms having emerged implying a virtual world. Advances in networking techniques such as host migration of instances, mobile ad hoc networking, and distributed computing, bring in to question whether architectures can actually support a virtual world. Without a concrete definition, controversy ensues and it is problematic to design an architecture for a virtual world. Several researchers provided a definition but aspects of each definition are still problematic and simply can not be applied to contemporary technologies. The approach of this article is to sample technologies using grounded theory and to obtain a definition for a ¡°virtual world¡± that is directly applicable to technology. The obtained definition is compared with related work and used to classify advanced technologies such as a pseudo-persistent video game, a MANet, virtual and mixed reality, and the Metaverse. The results of this article include a break down of which properties set apart the various technologies; a definition that is validated by comparing it with other definitions; an ontology showing the relation of the different complimentary terms and acronyms; and the usage of pseudo-persistence to categories those technologies, which only mimic persistence. Copyright ? 2017 John Wiley & Sons, Ltd.",definition; MANet; Metaverse; mixed reality; video games; virtual world,Computation theory; Distributed computer systems; Human computer interaction; Mobile ad hoc networks; Virtual reality; Definition; MANet; Metaverse; Mixed reality; Video game; Virtual worlds; Interactive computer graphics,Article,Final,,Scopus,2-s2.0-85018887006
de Sousa C.C.,57095572900;,Virtual corporeality and aesthetic experience,2017,Virtual Creativity,7,1,,7,28,,,10.1386/vcr.7.1.7_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092493004&doi=10.1386%2fvcr.7.1.7_1&partnerID=40&md5=fb2b9e44ec162ba818b0b513cf0a3e11,"Escola Superior de Educa??o de Viseu, Rua Maximiano Arag?o, Viseu, 3504 ? 501, Portugal","de Sousa, C.C., Escola Superior de Educa??o de Viseu, Rua Maximiano Arag?o, Viseu, 3504 ? 501, Portugal","The experience of the body in the Metaverse is not always an experience of the flesh, at least regarding the avatar. Even though virtual experiences can trigger a physical dimension of the senses, these sensations are lived by the body in front of the screen, rather than by the avatar¡¯s body, which may function as an expressive element. The avatar may be crucial in communicating with others (as language) and play a role in the users¡¯ access and interaction with the virtual world (as experience). A tension between language and experience opens up a new and fundamental aesthetic territory in the avatar, demanding a reconfiguration of concepts and processes involved in its creation and embodiment. This article aims to explore how virtual corporeality may emerge from this tension in the manipulation of avatars in Creative Collaborative Virtual Environments (CCVE), what affordances enable this emergence and how it impacts aesthetic and creative experience. ? 2017 Intellect Ltd Article.",Aesthetic experience; Avatar; CCVE; Embodiment; Virtual; Virtual corporeality,,Article,Final,,Scopus,2-s2.0-85092493004
Ayiter E.,14035171700;,Building a (virtual) aleph: The visual transformation of a tiny cosmogony,2017,Technoetic Arts,15,1,,3,13,,,10.1386/tear.15.1.3_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041668549&doi=10.1386%2ftear.15.1.3_1&partnerID=40&md5=34db8dd4abaa440afb3476eabd0056df,"Sabanci University, Orhanli Tuzla, Istanbul, 34956, Turkey","Ayiter, E., Sabanci University, Orhanli Tuzla, Istanbul, 34956, Turkey","This article discusses the transformation of a tiny three-dimensional artwork created in the metaverse that takes its inspiration from Jorge Luis Borges's story of 'the Aleph' - A tale that revolves around a minute artefact that is 'one of the points in space that contains all other points'. The visualization of a concept as complex as 'the Aleph' led the author of the project through a process that started from Cartesian precepts, from where it transformed itself into an investigation of 'code' as a basal, life-giving presence that is abstract, enigmatic and hermetic in its essence. This correlation between 'code' and the magical nature of 'the Aleph' has led to further considerations regarding the significance of such a marvellous object within virtual worlds. Accordingly, this text will conclude with the description of an intriguing, novel usage for 'the Aleph' that materializes as a time machine for virtual-world avatars. ? 2017 Intellect Ltd Article. English language.",the aleph'; Avatar; Process; Time machine; Virtual worlds; Visualization,,Article,Final,,Scopus,2-s2.0-85041668549
"Choi H.-S., Kim S.-H.",55516099100;57189071826;,A content service deployment plan for metaverse museum exhibitions?Centering on the combination of beacons and HMDs,2017,International Journal of Information Management,37,1,,1519,1527,,29,10.1016/j.ijinfomgt.2016.04.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965025979&doi=10.1016%2fj.ijinfomgt.2016.04.017&partnerID=40&md5=bc36f45def3f193fb89b30f7e033d555,"Dept. of History and Historical Content, Sangmyung University, 20, Hongjimun 2-gil, Jongno-gu, Seoul, 03016, South Korea","Choi, H.-S., Dept. of History and Historical Content, Sangmyung University, 20, Hongjimun 2-gil, Jongno-gu, Seoul, 03016, South Korea; Kim, S.-H., Dept. of History and Historical Content, Sangmyung University, 20, Hongjimun 2-gil, Jongno-gu, Seoul, 03016, South Korea","Today, methods of museum exhibition are rapidly changing. While focusing on visitors¡¯ museum experience, new display methods employ a variety of digital technologies to provide exhibition content in ways that allow visitors to better understand artifacts on display. However, the majority of such methods rely on one-way means of delivering information. The lack of interaction with visitors and the use of lighting that clearly separates real and virtual spaces have made museums inadequate as experiential spaces. To resolve those problems, this article suggests a plan to deploy content services for visitors¡¯ museum experiences by combining beacons and HMDs. This study establishes the concept of a service, which provides a virtual world experience by connecting a beacon installed in real space, that is, an exhibition room, to an HMD (head-mounted display). Furthermore, the service also incorporates a storytelling feature to diversify user experience by presenting the characteristics of and stories about artifacts. The service design will make both online and on-site museum experiences meaningful. Ultimately, this article presents the exhibition content thus created as Metaverse exhibition content made through an effective combination of augmented reality and a virtual world. ? 2016 Elsevier Ltd",Augmented reality; Beacon; Exhibition content; HMD; Metaverse; Museum; Virtual reality,Augmented reality; Helmet mounted displays; Museums; Virtual reality; Beacon; Content services; Digital technologies; Head mounted displays; Metaverse; Service design; User experience; Virtual worlds; Exhibitions,Article,Final,,Scopus,2-s2.0-84965025979
Sourin A.,8366154100;,Case study: Shared virtual and augmented environments for creative applications,2017,SpringerBriefs in Computer Science,0,9.78332E+12,,49,64,,2,10.1007/978-3-319-54081-8_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044837969&doi=10.1007%2f978-3-319-54081-8_5&partnerID=40&md5=8900880605f4feec52549752db68d07d,"Nanyang Technological University, Singapore, Singapore","Sourin, A., Nanyang Technological University, Singapore, Singapore","The origin of shared virtual worlds is summarized. They were predicted by many novelists as well as envisaged in blockbuster movies at the start of the computer era. Constructing the first shared virtual worlds began in the last decade of the twentieth century when the Internet became ubiquitous. Extensions of the hypertext mark-up language (HTML) to immersive 3D graphics were proposed by several vendors and research groups that eventually materialized into what we know now as Extensible 3D (X3D) and its predecessor Virtual Reality Modeling Language (VRML). Academia has capitalized on these new horizons for education by setting up virtual campuses in Active Worlds?online shared virtual worlds based on the Renderware rendering engine. Thousands of virtual citizens populated CyberTown?a 3D online community developed in VRML language and the Blaxxun collaborative platform. The beginning of the new Millennium saw a start to many new developments and paradigms ranging from massively multiplayer online role-playing games (MMORPG) to serious networked gaming and simply living in virtual reality. New development tools, new businesses, and new psychological, ethical, and judicial problems had arrived. Second Life had a major impact on the field as the countries were opening their embassies there, and international corporations used to set up their offices for interviewing job applicants. For many years, Sony Computer Entertainment Inc. was exploring how useful their very own networked virtual world ¡°PlayStation Home¡± could be. However only a small fraction of the billions of Internet browsing users were involved in virtual 3D living?and these were mostly content creators. Virtual 3D cities were implemented in Google StreetView which brought together augmented reality (AR) and a global positioning system (GPS) in mobile devices. Internet gaming using AR has become a ¡°national sport¡± and the most popular leisure activity for young people in some countries. Tourists have become accustomed to utilizing AR and GPS navigation in the places they visit. All these new opportunities of ¡°being concurrently here and elsewhere¡± with mobile phones, just a click away, are encapsulated in Pok?mon Go. Its impact is analyzed. The future for shared VR and AR is summarized. ? The Author(s) 2017.",Augmented reality; Cybereducation; Cyberspace; Cyberworlds; e-learning; Metaverse; Shared virtual environments; Shared worlds; Virtual reality; VRML; X3D,Augmented reality; E-learning; Global positioning system; Hypertext systems; Modeling languages; Rendering (computer graphics); Social networking (online); Cybereducation; Cyberspaces; Cyberworlds; Metaverse; Shared virtual environments; Shared worlds; VRML; Virtual reality,Book Chapter,Final,,Scopus,2-s2.0-85044837969
De Graaf H.,56111414600;,Social inclusion through games and VR,2016,"2016 8th International Conference on Games and Virtual Worlds for Serious Applications, VS-Games 2016",,,7590366,,,,1,10.1109/VS-GAMES.2016.7590366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013225355&doi=10.1109%2fVS-GAMES.2016.7590366&partnerID=40&md5=8901f666671e576bf64768b13e9370ce,"VayaV Cooperation, Dorpsstraat 47, Koudekerk aan den Rijn, 2396HC, Netherlands","De Graaf, H., VayaV Cooperation, Dorpsstraat 47, Koudekerk aan den Rijn, 2396HC, Netherlands","The paper is partly based on an article/chapter from 2013, called Social inclusion through virtual worlds. Added are the results of two recent projects: an EC funded project called Discover (2012-2015) and the Dutch project Leuk voor Elkaar (2015-present). In The Netherlands we have developed a virtual world called VayaV Metaverse, based on the Open Sim platform. Also we have a demonstration build in Second Life called 'Nederland'. In our virtual worlds people will be able to 'play' according to rules and regulations they themselves decide upon, to have fun together and to learn and gain expertise and perspective for a better future. The developer and implementer of the VayaV Metaverse, VayaV is a not-for-profit Cooperation in The Netherlands which include VR experts, social organisations, Local Municipalities and Health organisations among others. ? 2016 IEEE.",Metaverse; Serious games; Social inclusion; Social psychology; Virtual reality; Virtual worlds,Interactive computer graphics; Virtual reality; Metaverse; Netherlands; Rules and regulations; Second Life; Social inclusion; Social psychology; Virtual worlds; Serious games,Conference Paper,Final,,Scopus,2-s2.0-85013225355
Hadjistassou S.K.,56113396600;,Culturally afforded tensions in the second life metaverse: From sustainability initiatives in Europe to sustainability practices in the United States,2016,International Journal of Web-Based Learning and Teaching Technologies,11,2,,14,38,,2,10.4018/IJWLTT.2016040102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969247202&doi=10.4018%2fIJWLTT.2016040102&partnerID=40&md5=5a231fa0bb8e13bc748513d7a239de77,"KIOS Research Center for Intelligent Systems and Networks, University of Cyprus, Cyprus","Hadjistassou, S.K., KIOS Research Center for Intelligent Systems and Networks, University of Cyprus, Cyprus","This study investigated the culturally contingent tensions afforded by the implementation of Second Life in transatlantic communications among 13 college-level students at a Southwestern academic institution in the United States and their instructor and an assistant professor and his graduate student at a Greek-speaking academic institution. The transatlantic transactions unfolded in IBM's virtual Green Data Center, where students and instructors engaged in critical discussions on their local community, IBM, the European Union, and the United States' sustainability practices. By analyzing students and instructors' virtual exchanges, chat medium, and reflective comments, three categories of culturally enacted tensions were identified. These contradictions pertained to (a) emerging intercultural communication, (b) assigned collaborative activities, and (c) the use of the Second Life Viewer as a communication tool. The study demonstrated that contradictions can be contingent on institutional, broader cultural and historical constructs, Internet-mediated tools, and the different linguistic and cultural values and expectations related to relationship building and interactional dynamics. The study highlighted the importance of acknowledging such structural tensions as affordances for teaching and learning. Further, the study emphasized the need to take into account the institutional, pedagogical, instructional, and broader cultural realisms that impose constraints on teaching practices and participation in social virtualities. Copyright ? 2016, IGI Global.",Contradictions; Intercultural exchanges; Second life; Social virtualities,Green computing; Sustainable development; Academic institutions; Collaborative activities; Contradictions; Inter-cultural communications; Second Life; Social virtualities; Sustainability practices; Teaching and learning; Students,Article,Final,,Scopus,2-s2.0-84969247202
"Etienne P., Armand A.E., Alain B., Geoffrey G.",57193887698;56732678700;7005666347;57202608188;,The autoscopic flying avatar: A new paradigm to study bilocated presence in mixed reality,2016,ACM International Conference Proceeding Series,,,31,,,,,10.1145/2927929.2927962,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017350953&doi=10.1145%2f2927929.2927962&partnerID=40&md5=72f6dc94efccc8c0de0f4af5e62b8cb9,"IDEFI-Cr?aTIC, Laboratoire Paragraphe, Universit? Paris 8, 2 rue de la Libert?, Saint-Denis, 93526, France; DICEN-IDF, CNAM, UPEM, 292 Rue Saint-Martin, Paris, 75003, France; Coll?ge de France, 11 Place Marcelin Berthelot, Paris, 75005, France; LAMPA - P and I, ENSAM ParisTech, 4 Rue de l'Ermitage, Laval, 53000, France","Etienne, P., IDEFI-Cr?aTIC, Laboratoire Paragraphe, Universit? Paris 8, 2 rue de la Libert?, Saint-Denis, 93526, France; Armand, A.E., DICEN-IDF, CNAM, UPEM, 292 Rue Saint-Martin, Paris, 75003, France; Alain, B., Coll?ge de France, 11 Place Marcelin Berthelot, Paris, 75005, France; Geoffrey, G., LAMPA - P and I, ENSAM ParisTech, 4 Rue de l'Ermitage, Laval, 53000, France","This position paper presents the project ""Becoming Avatar"" deals with avatarial immersion [1] addressed through an interdisciplinary experimental approach. Its goal, at the crossroad of the creation of images and interactive technology, of virtual reality, neurophysiology and information and communication sciences, is to develop a device and a media scenario to support the hypothesis of a split state and to objectify the situation of bilocation [2]. Being present both here in front of the screen and over there, beyond the screen, which is shown by empirical studies of video games and by artists and metaverse explorers in Second Life. This type of state resonates in neurophysiology with the artificial ""Out-of-Body Experiences"" sensations produced with the aid of virtual reality equipment on healthy subjects. The production includes the development of a scientific experimental facility for physiological measurements and a public installation allowing someone to live a non-ordinary experience of split self. The common feature to both aspects of the project is based on the original idea of integrating video and 3D technology in order to experiment a situation of flight in mixed reality. The subject is literally invited to ""become an avatar"", indeed, he sees his own image, filmed from behind, inlaid into a synthetic world where he will be able to move freely and experiment different events. This autoscopic system of immersion was imagined in 2012 by E. Pereny and worked again in 2013-2014 with Pr A. Berthoz and EA. Amato, to be developed and finalized with N. Galinotti and G. Gorisse, with Jams sessions integrating students.",Autoscopy; Avatar; Chroma key; Experimentation; Image; Immersion; Instantiation; Physiological measurements; Presence; Real-time 3d; Third person perspective,Neurophysiology; Physiology; Three dimensional computer graphics; Virtual reality; Autoscopy; Avatar; Chroma key; Experimentation; Image; Immersion; Instantiation; Physiological measurement; Presence; Real time; Third person perspective; Interactive computer graphics,Conference Paper,Final,,Scopus,2-s2.0-85017350953
"Wei Y., Qin X., Tan X., Yu X., Sun B., Zhu X.",35244053500;56479789200;56479785500;56479563600;56416899900;55696685000;,The Design of a Visual Tool for the Quick Customization of Virtual Characters in OSSL,2016,"Proceedings - 2015 International Conference on Cyberworlds, CW 2015",,,7398433,314,320,,,10.1109/CW.2015.37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964310730&doi=10.1109%2fCW.2015.37&partnerID=40&md5=fd103b6eef8879cb5d1ede790856edb5,"College of Information Science and Technology, Beijing Normal University, Beijing, China","Wei, Y., College of Information Science and Technology, Beijing Normal University, Beijing, China; Qin, X., College of Information Science and Technology, Beijing Normal University, Beijing, China; Tan, X., College of Information Science and Technology, Beijing Normal University, Beijing, China; Yu, X., College of Information Science and Technology, Beijing Normal University, Beijing, China; Sun, B., College of Information Science and Technology, Beijing Normal University, Beijing, China; Zhu, X., College of Information Science and Technology, Beijing Normal University, Beijing, China","This paper implements a visual tool for the quick customization of virtual characters in 3D virtual worlds with a three-layer structure based on the Open Sim and Second Life platforms and ?Knowledge? theory. ?Knowledge? refers to specific controlling conditions and the corresponding behaviors of virtual characters. The three-layer structure is divided into the data layer, entity layer, and implementation layer. The data layer is used to store the data needed by the virtual characters' login and the behavioral control, the entity layer enables the exchange of data with the data layer and passes parameters to the implementation layer, and the implementation layer allows for realizing the knowledge of virtual characters with the support of the API in the Open Metaverse open source framework. Moreover, visualization of the tool is implemented through the interfaces provided by the entity layer. With this tool, users can generate a group of virtual characters quickly and conveniently at any place in a certain virtual world and select a variety of knowledge for diverse virtual characters. ? 2015 IEEE.",behavioral control; knowledge database; Open Metaverse; virtual characters; virtual worlds,Interactive computer graphics; Virtual reality; Behavioral control; Knowledge database; Open Metaverse; Virtual character; Virtual worlds; Knowledge management,Conference Paper,Final,,Scopus,2-s2.0-84964310730
Ayiter E.,14035171700;,Azimuth to Cypher: The Transformation of a Tiny (Virtual) Cosmogony,2016,"Proceedings - 2015 International Conference on Cyberworlds, CW 2015",,,7398423,247,250,,,10.1109/CW.2015.40,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964289018&doi=10.1109%2fCW.2015.40&partnerID=40&md5=684df07bcdded00c039e3e9e6a2e6991,"Sabanci University, Istanbul, Turkey","Ayiter, E., Sabanci University, Istanbul, Turkey","This paper discusses the transformation of a tiny three dimensional artwork created in the metaverse. The project takes its inspiration from Jorge Luis Borges's story of 'the Aleph,' which revolves around a tiny artifact which is ""one of the points in space that contains all other points."" The paper will investigate how the visualization of a thing that is as complex as 'the Aleph' became transformed into an investigation of 'code' as a basal, life-giving presence that is nevertheless abstract, enigmatic, hermetic, and complex in its essence-a thing to be pondered upon and deciphered, a system that does not reveal itself readily to the uninitiated. ? 2015 IEEE.",3D; Art; Jorge Luis Borges; Metaverse; Process; the Aleph; Tiny; Virtual Worlds; Visualization,Flow visualization; Processing; Virtual reality; Visualization; Jorge Luis Borges; Metaverse; the Aleph; Tiny; Virtual worlds; Three dimensional computer graphics,Conference Paper,Final,,Scopus,2-s2.0-84964289018
Ayiter E.,14035171700;,"Storyworld, gesamtkunstwerk, art ecology: Creating narrative geographies in the metaverse",2016,IS and T International Symposium on Electronic Imaging Science and Technology,,,,,,,,10.2352/ISSN.2470-1173.2016.4.ERVR-421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046060748&doi=10.2352%2fISSN.2470-1173.2016.4.ERVR-421&partnerID=40&md5=62d19f2180d563bc1d7846842c2f6291,"Sabanci University, Istanbul, Turkey","Ayiter, E., Sabanci University, Istanbul, Turkey","This paper will bring together two terms originating from disciplines that at first glance may seem to be unrelated to artistic activity in Virtual Environments or Virtual Worlds: 'Storyworld' which is largely grounded in the field of Narratology, and Gesamtkunstwerk' from the field of Aesthetics. These terms will be used as the theoretical framework that explicates on the creation of virtual, three dimensional 'art ecologies' for narrative purposes in virtual worlds. One such art ecology, created by the author, will be used as an example as to how such a narrative space has been built. ? 2016 Society for Imaging Science and Technology.",,Ecology; Theoretical framework; Virtual worlds; Virtual reality,Conference Paper,Final,,Scopus,2-s2.0-85046060748
[No author name available],[No author id available],IS and T International Symposium on Electronic Imaging Science and Technology,2016,IS and T International Symposium on Electronic Imaging Science and Technology,,,,,,63,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046060581&partnerID=40&md5=bf5a14c76b2eb1da438679131adfbdbe,,,"The proceedings contain 9 papers. The topics discussed include: perceptual calibration in virtual reality applications; Mobius Floe: an immersive virtual reality game for pain distraction; towards naturally grabbing and moving objects in VR; camera pose estimation by vision-inertial sensor fusion: an application to augmented reality books; implementing native support for oculus and leap motion in a commercial engineering visualization and analysis platform; turning presence inside-out: metanarratives; virtual reality system as an affective medium to induce specific emotion: a validation study; Storyworld, Gesamtkunstwerk, art ecology: creating narrative geographies in the metaverse; and visual knowledge feedback through multi-camera system aided by augmented reality.",,,Conference Review,Final,,Scopus,2-s2.0-85046060581
"Paliokas I., Segkouli S., Tzovaras D., Karagiannidis C.",6506588780;56347914200;13105681700;6601979839;,A dynamic interface adaptation approach for accessible immersive environments,2016,"Proceedings of the International Conference on Interfaces and Human Computer Interaction 2016, Game and Entertainment Technologies 2016 and Computer Graphics, Visualization, Computer Vision and Image Processing 2016 - Part of the Multi Conference on Computer Science and Information Systems 2016",,,,37,44,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040125803&partnerID=40&md5=31eb1c027ce9cba464469e0268e3c987,"Information Technologies Institute-ITI Centre for Research and Technology Hellas-CERTH, 6th km Charilaou-Thermi Rd P.O. Box 60361, Thermi, Thessaloniki, GR 57001, Greece; Department of Special Education, University of Thessaly, Argonafton and Filellinon, Volos, Greece","Paliokas, I., Information Technologies Institute-ITI Centre for Research and Technology Hellas-CERTH, 6th km Charilaou-Thermi Rd P.O. Box 60361, Thermi, Thessaloniki, GR 57001, Greece; Segkouli, S., Information Technologies Institute-ITI Centre for Research and Technology Hellas-CERTH, 6th km Charilaou-Thermi Rd P.O. Box 60361, Thermi, Thessaloniki, GR 57001, Greece; Tzovaras, D., Information Technologies Institute-ITI Centre for Research and Technology Hellas-CERTH, 6th km Charilaou-Thermi Rd P.O. Box 60361, Thermi, Thessaloniki, GR 57001, Greece; Karagiannidis, C., Department of Special Education, University of Thessaly, Argonafton and Filellinon, Volos, Greece","Current trends in context-Aware computing have altered the static nature of interfaces and equipped them with the ability to adapt to the physical or social context. This paper investigates new paradigms towards cognitive context-Awareness which relies on adaptation and personalization factors of more explicit interfaces oriented by individuals' cognitive processes. The main objective is to propose a smooth transition from existing interface design practices to advanced adaptation techniques concerning interfaces' design, based on cognitive abilities' inclination. To prove this, a group of young users, elderly and MCI positives, were asked to perform series of common tasks in a Metaverse interface design. A prediction model was developed to categorize users based on the way they interact with the interface. The outcomes of the interaction pattern analysis serve as the criterion based on which the proposed novel interaction-Aware interface can adapt users' abilities to maximize accessibility and comfort.",Adaptive Interface Design; Context-Aware Computing; Interaction Patterns; MCI; Metaverse,Computer games; Computer graphics; Computer vision; Image processing; User interfaces; Visualization; Adaptation techniques; Adaptive interface designs; Context- awareness; Context-aware computing; Immersive environment; Interaction pattern; Metaverse; Smooth transitions; Human computer interaction,Conference Paper,Final,,Scopus,2-s2.0-85040125803
